,Model,RMSE,Log RMSE
0,OLS,1.6643583218920456e+22,51.16631170276171
1,SVM,274928.94528804877,12.524267962491916
2,GPR,243168.79796203785,12.401511122989811
3,Decision Tree,238404.1122430189,12.381722463366089
4,Random Forest (depth = 24),27.0,3.2958368660043287
5,SGD,2.88689334963773e+24,56.322223190268325
0,Dummy,243507.34246626234,12.402902374915714
